func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
cg2_l20_w00_c200,mssp3-n120-d30-03,95.42144981065063,794.4001000000003,794.4001000000003,0.0,0.027564675,95.39388513565063,93.90360329100004,93.710563904,145,134,493,420,2311,202,340,168.0,340,168
cg2_l20_w00_c200,mssp3-n120-d30-04,154.9878820152328,727.7001,727.7001,0.0,0.032806036,154.9550759792328,153.14444858600004,153.051347751,171,153,660,420,2281,202,355,166.0,355,166
cg2_l20_w00_c200,mssp3-n120-d30-05,70.26624666438599,727.4001000000003,727.4001000000003,0.0,0.0224527,70.24379396438599,68.66786274300003,68.54296889999999,74,67,598,420,2262,202,268,70.0,268,70
cg2_l20_w00_c200,mssp3-n140-d10-01,735.2145407931433,2171.934675,2171.934675,0.0,0.087839915,735.1267008781433,730.9645806819997,730.6728328420003,400,387,1219,456,1078,202,590,451.0,590,451
cg2_l20_w00_c200,mssp3-n140-d10-02,405.6725094455414,2018.1001,2018.1001,0.0,0.052127375,405.6203820705414,404.856911874,404.6665833260001,164,158,71,456,1149,202,367,272.0,367,243
cg2_l20_w00_c200,mssp3-n140-d10-03,496.16250012687453,2331.256642813766,2331.256642813766,0.0,0.049566968,496.1129331588745,495.07651323000016,494.68473570600025,333,326,53,456,1078,202,533,591.0,532,495
cg2_l20_w00_c200,mssp3-n140-d10-04,1058.5220256830826,1874.694292941179,1874.694292941179,0.0,0.040590861,1058.4814348220825,1057.051096755,1056.7618825699992,382,368,247,456,1184,202,578,512.0,578,512
cg2_l20_w00_c200,mssp3-n140-d10-05,356.42959339578823,1961.3001000000013,1961.3001000000013,0.0,0.029613566,356.3999798297882,355.45499191099987,355.34015136599993,171,162,207,456,1160,202,367,214.0,367,214
cg2_l20_w00_c200,mssp3-n140-d15-01,263.8869925600442,1420.0000999999997,1420.0000999999997,0.0,0.098776446,263.7882161140442,261.5452954740001,261.4255301199999,193,183,442,456,1688,202,395,768.0,395,768
cg2_l20_w00_c200,mssp3-n140-d15-02,572.8737015084719,1823.3140277777782,1823.3140277777782,0.0,0.008096631,572.8656048774719,570.0057800199997,569.7079823489998,363,350,673,456,1631,202,558,514.0,558,511
cg2_l20_w00_c200,mssp3-n140-d15-03,875.1117394688321,1356.2001999999998,1356.2001999999998,0.0,0.022498441,875.089241027832,872.6612479299995,872.468577822,212,194,568,456,1693,202,395,196.0,395,196
cg2_l20_w00_c200,mssp3-n140-d15-04,311.44642748078843,1565.7002,1565.7002,0.0,0.009774582,311.43665289878845,309.9767248959999,309.86040187900005,199,191,290,456,1663,202,402,717.0,402,717
cg2_l20_w00_c200,mssp3-n140-d15-05,307.9790031868236,1495.522383333334,1495.522383333334,0.0,0.009475227,307.9695279598236,306.28704167,306.190407103,161,153,325,456,1656,202,359,165.0,357,163
cg2_l20_w00_c200,mssp3-n140-d20-01,353.8242606093264,1375.072276969699,1375.0722769696988,0.0,0.061898606,353.7623620033264,351.5030245060001,351.3783611720001,205,194,469,456,2110,202,397,234.0,397,234
cg2_l20_w00_c200,mssp3-n140-d20-02,345.0411398214134,1193.5002,1193.5002,0.0,0.010492782,345.03064703941345,340.8108820549999,340.66926054499993,123,112,1329,456,2121,202,316,158.0,316,156
cg2_l20_w00_c200,mssp3-n140-d20-03,434.4737625890725,1113.9001000000032,1113.9001000000032,0.0,0.011548596,434.4622139930725,424.5848801539997,424.4786177469998,181,170,2653,456,2114,202,371,171.0,370,170
cg2_l20_w00_c200,mssp3-n140-d20-04,441.5968604182655,1168.5751250000017,1168.5751250000017,0.0,0.012749443,441.5841109752655,438.750182782,438.6317018270002,195,184,813,456,2206,202,387,203.0,387,203
cg2_l20_w00_c200,mssp3-n140-d20-05,498.7034070404928,1110.7001499999983,1110.7001499999983,0.0,0.011825076,498.6915819644928,487.1069087929998,486.8560003429999,293,278,2807,456,2144,202,484,492.0,484,483
cg2_l20_w00_c200,mssp3-n140-d30-01,201.12830970883863,602.0001000000004,602.0001000000004,0.0,0.062567693,201.06574201583862,198.317102003,198.289226653,44,36,648,456,3022,202,236,36.0,236,36
cg2_l20_w00_c200,mssp3-n140-d30-02,178.2991873205989,744.0000999999997,744.0000999999999,0.0,0.015930313,178.28325700759888,175.83408787899995,175.791879317,73,66,461,456,3051,202,267,69.0,267,69
cg2_l20_w00_c200,mssp3-n140-d30-03,125.1496413393999,958.3001000000002,958.3001000000002,0.0,0.016654317,125.1329870223999,122.74280608699998,122.69969848799998,76,68,504,456,3093,202,274,142.0,274,142
cg2_l20_w00_c200,mssp3-n140-d30-04,232.59133953615785,1009.4001000000003,1009.4001000000003,0.0,0.12927074,232.46206879615784,229.86250589799994,229.78612390100002,124,112,551,456,3129,202,315,138.0,315,138
cg2_l20_w00_c200,mssp3-n140-d30-05,173.90789305199218,1020.3001000000004,1020.3001000000004,0.0,0.016978135,173.8909149169922,171.76629393500002,171.60732452100004,129,120,354,456,3088,202,327,207.0,326,194
cg2_l20_w00_c200,mssp3-n160-d10-01,1545.3275351932725,2293.1001000000065,2293.1001000000065,0.0,0.056640189,1545.2708950042725,1543.568719202001,1543.3920219330007,264,253,218,492,1455,202,465,2661.0,465,2661
cg2_l20_w00_c200,mssp3-n160-d10-02,2473.0384569564744,2160.709971739131,2160.7099717391316,0.0,0.007075111,2473.0313818454742,2470.466300544001,2470.183147697001,411,400,339,492,1520,202,610,744.0,610,744
cg2_l20_w00_c200,mssp3-n160-d10-03,2175.2480195976964,2336.426754807693,2336.426754807693,0.0,0.04162874,2175.2063908576965,2170.7838687159997,2170.568545064,339,322,968,492,1423,202,528,339.0,527,337
cg2_l20_w00_c200,mssp3-n160-d10-04,2240.5737572067096,2189.4297944444443,2189.4297944444443,0.0,0.020051276,2240.55370593071,2238.678901918001,2238.4571627629994,340,323,214,492,1498,202,530,397.0,530,394
cg2_l20_w00_c200,mssp3-n160-d10-05,2825.5784787557104,2336.396483277595,2336.396483277595,0.0,0.008503618,2825.5699751377106,2822.8362217129993,2822.647967185999,282,269,535,492,1515,202,471,275.0,471,275
cg2_l20_w00_c200,mssp3-n160-d15-01,1102.3054260579122,1460.8001000000004,1460.8001000000004,0.0,0.060465273,1102.244960784912,1097.5650599999994,1097.4298671269999,196,186,964,492,2130,202,389,200.0,389,200
cg2_l20_w00_c200,mssp3-n160-d15-02,1459.0938367844797,1413.1001,1413.1001,0.0,0.009771824,1459.0840649604797,1453.936961031,1453.8019649560001,207,197,901,492,2101,202,404,317.0,404,317
cg2_l20_w00_c200,mssp3-n160-d15-03,3203.832163200048,1574.6002000000028,1574.6002000000028,0.0,0.011647329,3203.820515871048,3184.8285578699993,3184.5650395000016,407,390,3424,492,2100,202,595,421.0,594,415
cg2_l20_w00_c200,mssp3-n160-d15-04,2089.061269106247,1513.0238796208498,1513.0238796208498,0.0,0.010623278,2089.050645828247,2075.1044330239997,2074.925757021,289,277,3403,492,2077,202,478,280.0,478,280
cg2_l20_w00_c200,mssp3-n160-d15-05,737.2922168202456,1572.0002000000052,1572.000200000005,0.0,0.012390656,737.2798261642456,732.5924112249998,732.489464479,121,113,1024,492,2115,202,325,965.0,325,965
cg2_l20_w00_c200,mssp3-n160-d20-01,1729.2405114651751,1249.0002000000006,1249.0002000000009,0.0,0.063108492,1729.177402973175,1719.3016659350012,1719.0473272700008,388,370,1038,492,2663,202,578,534.0,578,534
cg2_l20_w00_c200,mssp3-n160-d20-02,1429.3092068017263,1194.7000999999987,1194.7000999999987,0.0,0.054482776,1429.2547240257263,1421.2763299069995,1421.1718581709993,168,159,1722,492,2740,202,365,203.0,363,197
cg2_l20_w00_c200,mssp3-n160-d20-03,519.2663937398831,1490.4001999999996,1490.4001999999996,0.0,0.079105694,519.1872880458832,514.8423578530001,514.7662897820003,129,117,702,492,2694,202,321,138.0,321,138
cg2_l20_w00_c200,mssp3-n160-d20-04,804.9909778394393,1243.4001500000006,1243.4001500000006,0.0,0.014391736,804.9765861034393,791.3348893689998,791.2481337520004,130,122,2318,492,2678,202,329,216.0,329,216
cg2_l20_w00_c200,mssp3-n160-d20-05,1655.0688103677132,1184.2001000000002,1184.2001000000002,0.0,0.050509596,1655.0183007717133,1632.414366399002,1632.1473272120002,341,327,3818,492,2754,202,535,451.0,534,445
cg2_l20_w00_c200,mssp3-n160-d30-01,1015.829043125164,791.5001,791.5435112797217,5.4846840476307254e-5,0.065600132,1015.7634429931641,997.0496450810003,996.8382146399999,188,175,3528,492,3945,202,379,227.0,379,227
cg2_l20_w00_c200,mssp3-n160-d30-02,951.0497073666963,905.7000999999998,905.7000999999998,0.0,0.018661453,951.0310459136963,946.2915724499998,946.1370987910002,130,121,769,492,4006,202,323,125.0,322,123
cg2_l20_w00_c200,mssp3-n160-d30-03,492.4196509273192,859.8001000000002,859.8812574914529,9.439111655453401e-5,0.021371022,492.3982799053192,473.9960564510001,473.91001358999983,147,129,3881,492,4029,202,334,177.0,334,177
